"","Title","Author","Format","Starts","Price","ISBN","Category","publishedDate","categories","pageCount"
"16727","Walt Disney Uncle Scrooge and Donald Duck","Don Rosa","Hardback",4.5,"23.78",9781606997802,"Humour",NA,NA,NA
"16728","Moustache Grower's Guide","Lucien Edwards","Hardback",3.5,"10.1",9780811878807,"Humour",NA,NA,NA
"16729","Babies","Boris Starling","Hardback",4,"7.49",9781785211027,"Humour","2016-11-01","Humor",0
"16730","How To Ruin Everything","George Watsky","Paperback",4,"13.08",9780147515995,"Humour","2016-06-14","Humor",242
"16731","Newspaper Blackout","Austin Kleon","Paperback",4,"11.45",9780061732973,"Humour","2010-04-13","Art",0
"16732","Kilted Yoga","Finlay Wilson","Hardback",4.5,"15.22",9781473667846,"Humour","2019-04-23","Health & Fitness",0
"16733","The Tao of Bill Murray","Gavin Edwards","Hardback",3.5,"15.75",9781780894362,"Humour",NA,NA,NA
"16734","Cold Comfort Farm","Stella Gibbons","Paperback",4,"15.09",9780143039594,"Humour","2006-03-28","Fiction",0
"16735","Yoga Dogs: Get in Touch with Your Inner Pup","Daniel Borris","Hardback",5,"5.93",9781841613574,"Humour",NA,NA,NA
"16736","New Erotica for Feminists","Caitlin Kunkel","Hardback",4,"9.04",9781473691162,"Humour",NA,NA,NA
"16737","Colour Me Good Tom Hiddleston","Mel Elliott","Paperback",4.5,"7.66",9780992854430,"Humour","2014-09-18","Art",0
"16738","Happy Fat","Sofie Hagen","Hardback",4.5,"14.87",9780008293871,"Humour","2019-05","Body image in women",336
"16739","Attempting Normal","Marc Maron","Paperback",4,"11.9",9780812982787,"Humour",NA,NA,NA
"16740","Yolo Juliet","William Shakespeare","Hardback",3.5,"8.5",9780553535396,"Humour",NA,NA,NA
"16741","The Brief Wondrous Life of Oscar Wao","Junot Diaz","Paperback",4,"13.1",9781594483295,"Humour",NA,NA,NA
"16742","The Indisputable Existence of Santa Claus","Hannah Fry","Hardback",4,"11.4",9781784162740,"Humour","2017-11-15","Humor",0
"16743","The Truth About Chuck Norris","Ian Spector","Paperback",4,"10.86",9781592403448,"Humour",NA,NA,NA
"16744","The King's English","Kingsley Amis","Paperback",4,"10.24",9780141194318,"Humour","2011-06-02","Humor",278
"16745","The Rory's Stories Guide to the GAA","Rory O'Connor","Hardback",4.5,"11.47",9780717179251,"Humour","2017-10-20","Gaelic games",220
"16746","Moomin Book Five","Tove Jansson","Hardback",4.5,"15.38",9781897299944,"Humour",NA,NA,NA
"16747","As I Was Saying . . .","Jeremy Clarkson","Paperback",4,"9.69",9781405924177,"Humour","2016-06-28","Humor",0
"16748","Christmas on Bear Mountain","Carl Barks","Hardback",4.5,"23.01",9781606996973,"Humour",NA,NA,NA
"16749","Last Words","George Carlin","Paperback",4,"13.05",9781439191101,"Humour","2010-11-02","Biography & Autobiography",0
"16750","It's All Absolutely Fine","Ruby Elliot","Paperback",4,"13.24",9781409167297,"Humour","2016-11-17","Mental illness",256
"16751","Animals Of A Bygone Era","Maja SÄFstrÖM","Hardback",4.5,"12.72",9780399578526,"Humour",NA,NA,NA
"16752","Everyday Drinking","Kingsley Amis","Paperback",4,"5.1",9781408803837,"Humour","2009-04-11","Drinking customs",320
"16753","More Very British Problems","Rob Temple","Paperback",4,"5.76",9780751558517,"Humour","2017-01-10","Humor",0
"16754","LEGO (R) Star Wars in 100 Scenes","DK","Hardback",4,"20.23",9780241189429,"Humour","2015-03-25",NA,216
"16755","The Irregular at Magic High School, Vol. 9 (light novel)","Tsutomu Satou","Paperback",4,"11.12",9781975327149,"Humour",NA,NA,NA
"16756","The Family Law","Benjamin Law","Paperback",4,"24.39",9781863955317,"Humour","2011","Biography & Autobiography",240
"16757","Crap Taxidermy","Kat Su","Hardback",4,"12.74",9781607748205,"Humour","2014-09-09","Humor",98
"16758","I Am America (and So Can You!)","Stephen Colbert","Paperback",4,"14.58",9780446582186,"Humour","2009-10-20","Humor",0
"16759","Horrible Histories Gruesome Guides: Dublin","Terry Deary","Paperback",4,"5.4",9781407180564,"Humour","2017-04-06","Dublin (Ireland)",96
